./compare_output.py ../tiger2024/ ../tiger2025/

08089.csv: added 964 (13.32%), deleted 1210 (16.72%), changed 128 (1.77%)
08091.csv: added 451 (24.30%), deleted 503 (27.10%), changed 83 (4.47%)
08093.csv: added 853 (11.04%), deleted 922 (11.93%), changed 198 (2.56%)
08095.csv: added 146 (7.13%), deleted 128 (6.25%), changed 22 (1.07%)
08097.csv: added 301 (9.37%), deleted 284 (8.84%), changed 34 (1.06%)
08099.csv: added 256 (5.96%), deleted 251 (5.85%), changed 35 (0.82%)
08101.csv: added 1130 (4.85%), deleted 1026 (4.40%), changed 90 (0.39%)
08103.csv: added 219 (5.52%), deleted 313 (7.89%), changed 66 (1.66%)
08105.csv: added 552 (12.27%), deleted 480 (10.67%), changed 50 (1.11%)
08107.csv: added 821 (15.02%), deleted 994 (18.18%), changed 263 (4.81%)
08109.csv: added 252 (9.40%), deleted 213 (7.94%), changed 28 (1.04%)
08111.csv: added 14 (6.39%), deleted 12 (5.48%), changed 12 (5.48%)
08113.csv: added 332 (13.76%), deleted 455 (18.86%), changed 166 (6.88%)
08115.csv: added 69 (2.73%), deleted 85 (3.36%), changed 6 (0.24%)
08117.csv: added 470 (11.19%), deleted 454 (10.81%), changed 63 (1.50%)
08119.csv: added 1026 (14.06%), deleted 1511 (20.70%), changed 415 (5.69%)
08121.csv: added 132 (3.98%), deleted 131 (3.95%), changed 25 (0.75%)
08123.csv: added 2410 (6.58%), deleted 2240 (6.12%), changed 187 (0.51%)
08125.csv: added 1396 (13.15%), deleted 1985 (18.70%), changed 156 (1.47%)
09110.csv: added 9578 (15.00%), deleted 8610 (13.49%), changed 538 (0.84%)
09120.csv: added 2390 (10.41%), deleted 2232 (9.73%), changed 143 (0.62%)
09130.csv: added 3343 (19.32%), deleted 3195 (18.47%), changed 344 (1.99%)
09140.csv: added 4709 (14.16%), deleted 4467 (13.44%), changed 298 (0.90%)
09150.csv: added 1733 (16.94%), deleted 1675 (16.37%), changed 161 (1.57%)
09160.csv: added 2730 (19.50%), deleted 2697 (19.27%), changed 314 (2.24%)
09170.csv: added 5036 (13.29%), deleted 4705 (12.41%), changed 322 (0.85%)
09180.csv: added 4346 (17.76%), deleted 4001 (16.35%), changed 333 (1.36%)
09190.csv: added 6672 (15.73%), deleted 6204 (14.63%), changed 475 (1.12%)
10001.csv: added 1690 (10.28%), deleted 1159 (7.05%), changed 52 (0.32%)
10003.csv: added 3360 (8.53%), deleted 2788 (7.08%), changed 157 (0.40%)
10005.csv: added 4138 (12.31%), deleted 3344 (9.94%), changed 212 (0.63%)
11001.csv: added 1190 (5.20%), deleted 1073 (4.69%), changed 109 (0.48%)
12001.csv: added 2707 (9.52%), deleted 2180 (7.67%), changed 292 (1.03%)
12003.csv: added 762 (20.11%), deleted 657 (17.34%), changed 130 (3.43%)
12005.csv: added 4330 (19.53%), deleted 3458 (15.60%), changed 477 (2.15%)
12007.csv: added 1073 (24.59%), deleted 1113 (25.50%), changed 210 (4.81%)
12009.csv: added 5598 (10.76%), deleted 4076 (7.83%), changed 411 (0.79%)
12011.csv: added 8204 (7.67%), deleted 7593 (7.10%), changed 668 (0.62%)
12013.csv: added 634 (20.72%), deleted 612 (20.00%), changed 117 (3.82%)
12015.csv: added 4335 (18.21%), deleted 2851 (11.97%), changed 93 (0.39%)
12017.csv: added 5416 (18.27%), deleted 5740 (19.37%), changed 647 (2.18%)
12019.csv: added 3955 (20.45%), deleted 4402 (22.76%), changed 619 (3.20%)
12021.csv: added 2499 (11.03%), deleted 2174 (9.60%), changed 202 (0.89%)
12023.csv: added 2349 (19.48%), deleted 2525 (20.94%), changed 492 (4.08%)
12027.csv: added 1006 (23.78%), deleted 1006 (23.78%), changed 178 (4.21%)
12029.csv: added 981 (22.39%), deleted 1301 (29.69%), changed 233 (5.32%)
12031.csv: added 7051 (9.52%), deleted 5182 (7.00%), changed 589 (0.80%)
12033.csv: added 4195 (12.10%), deleted 3430 (9.89%), changed 222 (0.64%)
12035.csv: added 1954 (18.63%), deleted 1371 (13.07%), changed 47 (0.45%)
